anon_ID,assistance_date,assistance_category,amount,unit
33,1/8/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
67,1/8/2019 14:35,Food Pantry: Food Pantry Poundage,25,Pounds
226,1/8/2019 14:45,Food Pantry: Food Pantry Poundage,25,Pounds
5,1/8/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
409,1/8/2019 15:00,Food Pantry: Food Pantry Poundage,25,Pounds
116,1/8/2019 15:25,Food Pantry: Food Pantry Poundage,25,Pounds
191,1/10/2019 10:10,Food Pantry: Food Pantry Poundage,25,Pounds
318,1/10/2019 10:15,Food Pantry: Food Pantry Poundage,25,Pounds
308,1/10/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
406,1/10/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
72,1/10/2019 11:35,Food Pantry: Food Pantry Poundage,25,Pounds
77,1/10/2019 11:35,Food Pantry: Food Pantry Poundage,25,Pounds
310,1/10/2019 11:45,Food Pantry: Food Pantry Poundage,25,Pounds
86,1/10/2019 11:55,Food Pantry: Food Pantry Poundage,25,Pounds
319,1/10/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
507,1/10/2019 12:15,Food Pantry: Food Pantry Poundage,25,Pounds
384,1/10/2019 12:25,Food Pantry: Food Pantry Poundage,25,Pounds
45,1/10/2019 12:50,Food Pantry: Food Pantry Poundage,25,Pounds
251,1/10/2019 13:00,Food Pantry: Food Pantry Poundage,25,Pounds
461,1/10/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
34,1/10/2019 13:25,Food Pantry: Food Pantry Poundage,25,Pounds
614,1/10/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
622,1/10/2019 13:50,Food Pantry: Food Pantry Poundage,25,Pounds
140,1/10/2019 15:00,Food Pantry: Food Pantry Poundage,25,Pounds
350,1/10/2019 15:30,Food Pantry: Food Pantry Poundage,25,Pounds
44,1/15/2019 10:20,Food Pantry: Food Pantry Poundage,25,Pounds
502,1/15/2019 11:15,Food Pantry: Food Pantry Poundage,25,Pounds
185,1/15/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
470,1/15/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
330,1/15/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
500,1/15/2019 12:45,Food Pantry: Food Pantry Poundage,25,Pounds
405,1/15/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
117,1/15/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
529,1/15/2019 15:55,Food Pantry: Holiday Baskets,30,Pounds
15,1/15/2019 16:00,Food Pantry: Holiday Baskets,30,Pounds
15,1/15/2019 16:00,Food Pantry: Holiday Baskets,30,Pounds
588,1/17/2019 10:30,Food Pantry: Food Pantry Poundage,25,Pounds
244,1/17/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
284,1/17/2019 11:55,Food Pantry: Food Pantry Poundage,25,Pounds
468,1/17/2019 11:55,Food Pantry: Food Pantry Poundage,25,Pounds
382,1/17/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
104,1/17/2019 12:25,Food Pantry: Food Pantry Poundage,25,Pounds
119,1/17/2019 12:40,Food Pantry: Food Pantry Poundage,25,Pounds
106,1/17/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
475,1/17/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
369,1/17/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
178,1/17/2019 13:25,Food Pantry: Food Pantry Poundage,25,Pounds
609,1/17/2019 13:40,Food Pantry: Food Pantry Poundage,25,Pounds
564,1/17/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
456,1/17/2019 14:15,Food Pantry: Food Pantry Poundage,25,Pounds
257,1/17/2019 14:25,Food Pantry: Food Pantry Poundage,25,Pounds
66,1/17/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
553,1/17/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
233,1/17/2019 14:45,Food Pantry: Food Pantry Poundage,25,Pounds
516,1/17/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
565,1/17/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
436,1/18/2019 11:00,Food Pantry: Food Pantry Poundage,25,Pounds
221,1/21/2019 14:20,Food Pantry: Food Pantry Poundage,25,Pounds
322,1/22/2019 11:15,Food Pantry: Food Pantry Poundage,25,Pounds
151,1/22/2019 11:25,Food Pantry: Food Pantry Poundage,25,Pounds
210,1/22/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
51,1/22/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
35,1/22/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
46,1/22/2019 11:45,Food Pantry: Food Pantry Poundage,25,Pounds
450,1/22/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
418,1/22/2019 12:20,Food Pantry: Food Pantry Poundage,25,Pounds
129,1/22/2019 12:35,Food Pantry: Food Pantry Poundage,25,Pounds
39,1/22/2019 12:40,Food Pantry: Food Pantry Poundage,25,Pounds
122,1/22/2019 13:00,Food Pantry: Food Pantry Poundage,25,Pounds
309,1/22/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
300,1/22/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
145,1/22/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
232,1/22/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
347,1/22/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
487,1/22/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
403,1/22/2019 14:10,Food Pantry: Food Pantry Poundage,25,Pounds
515,1/22/2019 14:35,Food Pantry: Food Pantry Poundage,25,Pounds
530,1/22/2019 14:50,Food Pantry: Food Pantry Poundage,25,Pounds
439,1/22/2019 15:00,Food Pantry: Food Pantry Poundage,25,Pounds
586,1/22/2019 15:00,Food Pantry: Food Pantry Poundage,25,Pounds
116,1/22/2019 15:25,Food Pantry: Food Pantry Poundage,25,Pounds
14,1/23/2019 10:10,Food Pantry: Food Pantry Poundage,25,Pounds
318,1/24/2019 10:15,Food Pantry: Food Pantry Poundage,25,Pounds
55,1/24/2019 10:20,Food Pantry: Food Pantry Poundage,25,Pounds
618,1/24/2019 10:50,Food Pantry: Food Pantry Poundage,25,Pounds
336,1/24/2019 10:55,Food Pantry: Food Pantry Poundage,25,Pounds
308,1/24/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
406,1/24/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
72,1/24/2019 11:35,Food Pantry: Food Pantry Poundage,25,Pounds
310,1/24/2019 11:45,Food Pantry: Food Pantry Poundage,25,Pounds
319,1/24/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
215,1/24/2019 12:10,Food Pantry: Easter Outreach,4,Boxes/Bags
119,1/24/2019 12:35,Food Pantry: Food Pantry Poundage,25,Pounds
337,1/24/2019 13:00,Food Pantry: Food Pantry Poundage,25,Pounds
461,1/24/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
614,1/24/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
191,1/24/2019 13:55,Food Pantry: Food Pantry Poundage,25,Pounds
186,1/24/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
409,1/24/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
502,1/29/2019 11:15,Food Pantry: Food Pantry Poundage,25,Pounds
478,1/29/2019 11:55,Food Pantry: Food Pantry Poundage,25,Pounds
284,1/29/2019 11:55,Food Pantry: Food Pantry Poundage,25,Pounds
470,1/29/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
102,1/29/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
330,1/29/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
106,1/29/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
475,1/29/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
168,1/29/2019 13:30,Food Pantry: Food Pantry Poundage,25,Pounds
451,1/29/2019 13:50,Food Pantry: Food Pantry Poundage,25,Pounds
456,1/29/2019 14:15,Food Pantry: Food Pantry Poundage,25,Pounds
257,1/29/2019 14:25,Food Pantry: Food Pantry Poundage,25,Pounds
44,1/29/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
66,1/29/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
33,1/29/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
226,1/29/2019 14:45,Food Pantry: Food Pantry Poundage,25,Pounds
565,1/29/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
529,1/29/2019 15:10,Food Pantry: Food Pantry Poundage,25,Pounds
335,1/31/2019 10:00,Food Pantry: Food Pantry Poundage,25,Pounds
588,1/31/2019 10:30,Food Pantry: Food Pantry Poundage,25,Pounds
361,1/31/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
361,1/31/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
175,1/31/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
178,1/31/2019 13:25,Food Pantry: Food Pantry Poundage,25,Pounds
252,1/31/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
553,1/31/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
320,1/31/2019 14:45,Food Pantry: Food Pantry Poundage,25,Pounds
391,1/31/2019 15:20,Food Pantry: Food Pantry Poundage,25,Pounds
263,1/31/2019 15:25,Food Pantry: Food Pantry Poundage,25,Pounds
406,2/4/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
244,2/5/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
51,2/5/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
361,2/5/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
361,2/5/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
210,2/5/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
46,2/5/2019 11:45,Food Pantry: Food Pantry Poundage,25,Pounds
450,2/5/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
162,2/5/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
215,2/5/2019 12:15,Food Pantry: Easter Outreach,4,Boxes/Bags
599,2/5/2019 12:45,Food Pantry: Food Pantry Poundage,25,Pounds
29,2/5/2019 12:50,Food Pantry: Food Pantry Poundage,25,Pounds
34,2/5/2019 13:25,Food Pantry: Food Pantry Poundage,25,Pounds
191,2/5/2019 13:55,Food Pantry: Food Pantry Poundage,25,Pounds
498,2/5/2019 13:55,Food Pantry: Food Pantry Poundage,25,Pounds
347,2/5/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
252,2/5/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
67,2/5/2019 14:10,Food Pantry: Food Pantry Poundage,25,Pounds
67,2/5/2019 14:35,Food Pantry: Food Pantry Poundage,25,Pounds
151,2/5/2019 14:40,Food Pantry: Food Pantry Poundage,25,Pounds
530,2/5/2019 14:50,Food Pantry: Food Pantry Poundage,25,Pounds
409,2/5/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
586,2/5/2019 15:00,Food Pantry: Food Pantry Poundage,25,Pounds
116,2/5/2019 15:25,Food Pantry: Food Pantry Poundage,25,Pounds
318,2/7/2019 10:15,Food Pantry: Food Pantry Poundage,25,Pounds
358,2/7/2019 10:45,Food Pantry: Food Pantry Poundage,25,Pounds
367,2/7/2019 11:00,Food Pantry: Food Pantry Poundage,25,Pounds
308,2/7/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
72,2/7/2019 11:35,Food Pantry: Food Pantry Poundage,25,Pounds
39,2/7/2019 12:40,Food Pantry: Food Pantry Poundage,25,Pounds
461,2/7/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
601,2/7/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
145,2/7/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
232,2/7/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
233,2/7/2019 14:45,Food Pantry: Food Pantry Poundage,25,Pounds
312,2/7/2019 15:10,Food Pantry: Food Pantry Poundage,25,Pounds
55,2/7/2019 15:30,Food Pantry: Food Pantry Poundage,25,Pounds
440,2/11/2019 13:40,Food Pantry: Food Pantry Poundage,25,Pounds
449,2/13/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
588,2/14/2019 10:30,Food Pantry: Food Pantry Poundage,25,Pounds
618,2/14/2019 10:50,Food Pantry: Food Pantry Poundage,25,Pounds
335,2/14/2019 11:10,Food Pantry: Food Pantry Poundage,25,Pounds
502,2/14/2019 11:15,Food Pantry: Food Pantry Poundage,25,Pounds
296,2/14/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
406,2/14/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
175,2/14/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
102,2/14/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
330,2/14/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
106,2/14/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
475,2/14/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
405,2/14/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
178,2/14/2019 13:25,Food Pantry: Food Pantry Poundage,25,Pounds
168,2/14/2019 13:30,Food Pantry: Food Pantry Poundage,25,Pounds
614,2/14/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
609,2/14/2019 13:40,Food Pantry: Food Pantry Poundage,25,Pounds
622,2/14/2019 13:50,Food Pantry: Food Pantry Poundage,25,Pounds
456,2/14/2019 14:15,Food Pantry: Food Pantry Poundage,25,Pounds
257,2/14/2019 14:25,Food Pantry: Food Pantry Poundage,25,Pounds
44,2/14/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
553,2/14/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
226,2/14/2019 14:45,Food Pantry: Food Pantry Poundage,25,Pounds
565,2/14/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
607,2/14/2019 15:40,Food Pantry: Food Pantry Poundage,25,Pounds
607,2/14/2019 15:40,Food Pantry: Food Pantry Poundage,25,Pounds
117,2/15/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
544,2/19/2019 10:25,Food Pantry: Food Pantry Poundage,25,Pounds
358,2/19/2019 10:45,Food Pantry: Food Pantry Poundage,25,Pounds
618,2/19/2019 10:50,Food Pantry: Food Pantry Poundage,25,Pounds
436,2/19/2019 11:00,Food Pantry: Food Pantry Poundage,25,Pounds
51,2/19/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
210,2/19/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
46,2/19/2019 11:45,Food Pantry: Food Pantry Poundage,25,Pounds
450,2/19/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
109,2/19/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
500,2/19/2019 12:45,Food Pantry: Food Pantry Poundage,25,Pounds
29,2/19/2019 12:50,Food Pantry: Food Pantry Poundage,25,Pounds
232,2/19/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
117,2/19/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
191,2/19/2019 13:55,Food Pantry: Food Pantry Poundage,25,Pounds
487,2/19/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
403,2/19/2019 14:10,Food Pantry: Food Pantry Poundage,25,Pounds
376,2/19/2019 14:25,Food Pantry: Food Pantry Poundage,25,Pounds
515,2/19/2019 14:35,Food Pantry: Food Pantry Poundage,25,Pounds
67,2/19/2019 14:35,Food Pantry: Food Pantry Poundage,25,Pounds
530,2/19/2019 14:50,Food Pantry: Food Pantry Poundage,25,Pounds
529,2/19/2019 15:15,Food Pantry: Food Pantry Poundage,25,Pounds
116,2/19/2019 15:25,Food Pantry: Food Pantry Poundage,25,Pounds
318,2/21/2019 10:15,Food Pantry: Food Pantry Poundage,25,Pounds
308,2/21/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
244,2/21/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
628,2/21/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
162,2/21/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
319,2/21/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
215,2/21/2019 12:15,Food Pantry: Easter Outreach,4,Boxes/Bags
201,2/21/2019 12:30,Food Pantry: Food Pantry Poundage,25,Pounds
129,2/21/2019 12:35,Food Pantry: Food Pantry Poundage,25,Pounds
39,2/21/2019 12:40,Food Pantry: Food Pantry Poundage,25,Pounds
599,2/21/2019 12:45,Food Pantry: Food Pantry Poundage,25,Pounds
45,2/21/2019 12:50,Food Pantry: Food Pantry Poundage,25,Pounds
461,2/21/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
309,2/21/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
145,2/21/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
564,2/21/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
568,2/21/2019 14:15,Food Pantry: Food Pantry Poundage,25,Pounds
221,2/21/2019 14:20,Food Pantry: Food Pantry Poundage,25,Pounds
409,2/21/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
5,2/21/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
140,2/21/2019 15:00,Food Pantry: Food Pantry Poundage,25,Pounds
84,2/21/2019 15:00,Food Pantry: Food Pantry Poundage,25,Pounds
33,2/24/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
185,2/25/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
330,2/25/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
104,2/25/2019 12:25,Food Pantry: Food Pantry Poundage,25,Pounds
475,2/25/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
439,2/25/2019 15:00,Food Pantry: Food Pantry Poundage,25,Pounds
35,2/26/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
293,2/26/2019 12:30,Food Pantry: Food Pantry Poundage,25,Pounds
500,2/26/2019 12:45,Food Pantry: Food Pantry Poundage,25,Pounds
106,2/26/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
614,2/26/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
451,2/26/2019 13:50,Food Pantry: Food Pantry Poundage,25,Pounds
347,2/26/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
257,2/26/2019 14:25,Food Pantry: Food Pantry Poundage,25,Pounds
553,2/26/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
391,2/26/2019 15:10,Food Pantry: Food Pantry Poundage,25,Pounds
588,2/28/2019 10:30,Food Pantry: Food Pantry Poundage,25,Pounds
102,2/28/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
2,2/28/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
462,2/28/2019 14:35,Food Pantry: Food Pantry Poundage,25,Pounds
565,2/28/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
383,2/28/2019 15:10,Food Pantry: Food Pantry Poundage,25,Pounds
143,2/28/2019 15:10,Food Pantry: Food Pantry Poundage,25,Pounds
263,2/28/2019 15:25,Food Pantry: Food Pantry Poundage,25,Pounds
73,3/4/2019 15:20,Food Pantry: Food Pantry Poundage,25,Pounds
544,3/5/2019 10:25,Food Pantry: Food Pantry Poundage,25,Pounds
314,3/5/2019 11:00,Food Pantry: Food Pantry Poundage,25,Pounds
317,3/5/2019 11:25,Food Pantry: Food Pantry Poundage,25,Pounds
51,3/5/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
361,3/5/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
361,3/5/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
46,3/5/2019 11:45,Food Pantry: Food Pantry Poundage,25,Pounds
478,3/5/2019 11:55,Food Pantry: Food Pantry Poundage,25,Pounds
450,3/5/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
470,3/5/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
109,3/5/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
141,3/5/2019 12:25,Food Pantry: Food Pantry Poundage,25,Pounds
39,3/5/2019 12:40,Food Pantry: Food Pantry Poundage,25,Pounds
29,3/5/2019 12:50,Food Pantry: Food Pantry Poundage,25,Pounds
28,3/5/2019 13:10,Food Pantry: Food Pantry Poundage,25,Pounds
300,3/5/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
145,3/5/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
117,3/5/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
191,3/5/2019 13:55,Food Pantry: Food Pantry Poundage,25,Pounds
44,3/5/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
67,3/5/2019 14:35,Food Pantry: Food Pantry Poundage,25,Pounds
530,3/5/2019 14:50,Food Pantry: Food Pantry Poundage,25,Pounds
439,3/5/2019 15:00,Food Pantry: Food Pantry Poundage,25,Pounds
586,3/5/2019 15:00,Food Pantry: Food Pantry Poundage,25,Pounds
529,3/5/2019 15:15,Food Pantry: Food Pantry Poundage,25,Pounds
116,3/5/2019 15:25,Food Pantry: Food Pantry Poundage,25,Pounds
55,3/5/2019 15:30,Food Pantry: Food Pantry Poundage,25,Pounds
171,3/5/2019 15:35,Food Pantry: Food Pantry Poundage,25,Pounds
524,3/5/2019 15:35,Food Pantry: Food Pantry Poundage,25,Pounds
607,3/5/2019 15:40,Food Pantry: Food Pantry Poundage,25,Pounds
607,3/5/2019 15:40,Food Pantry: Food Pantry Poundage,25,Pounds
318,3/7/2019 10:15,Food Pantry: Food Pantry Poundage,25,Pounds
308,3/7/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
406,3/7/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
72,3/7/2019 11:35,Food Pantry: Food Pantry Poundage,25,Pounds
210,3/7/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
310,3/7/2019 11:45,Food Pantry: Food Pantry Poundage,25,Pounds
375,3/7/2019 11:55,Food Pantry: Food Pantry Poundage,25,Pounds
215,3/7/2019 12:15,Food Pantry: Easter Outreach,4,Boxes/Bags
384,3/7/2019 12:25,Food Pantry: Food Pantry Poundage,25,Pounds
201,3/7/2019 12:30,Food Pantry: Food Pantry Poundage,25,Pounds
461,3/7/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
232,3/7/2019 13:35,Food Pantry: Food Pantry Poundage,25,Pounds
622,3/7/2019 13:50,Food Pantry: Food Pantry Poundage,25,Pounds
564,3/7/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
66,3/7/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
151,3/7/2019 14:40,Food Pantry: Food Pantry Poundage,25,Pounds
409,3/7/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
502,3/12/2019 11:15,Food Pantry: Food Pantry Poundage,25,Pounds
86,3/12/2019 11:55,Food Pantry: Food Pantry Poundage,25,Pounds
284,3/12/2019 11:55,Food Pantry: Food Pantry Poundage,25,Pounds
162,3/12/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
505,3/12/2019 12:15,Food Pantry: Food Pantry Poundage,25,Pounds
599,3/12/2019 12:45,Food Pantry: Food Pantry Poundage,25,Pounds
106,3/12/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
451,3/12/2019 13:50,Food Pantry: Food Pantry Poundage,25,Pounds
347,3/12/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
553,3/12/2019 14:30,Food Pantry: Food Pantry Poundage,25,Pounds
320,3/12/2019 14:45,Food Pantry: Food Pantry Poundage,25,Pounds
354,3/12/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
588,3/14/2019 10:30,Food Pantry: Food Pantry Poundage,25,Pounds
335,3/14/2019 11:10,Food Pantry: Food Pantry Poundage,25,Pounds
244,3/14/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
296,3/14/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
35,3/14/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
